iter	Passed	Remaining
446	1153	1427
447	1155	1423
448	1157	1420
449	1158	1416
450	1161	1413
451	1163	1410
452	1165	1406
453	1169	1406
454	1171	1403
455	1174	1400
456	1175	1397
457	1177	1393
458	1178	1389
459	1180	1385
460	1183	1383
461	1184	1379
462	1186	1375
463	1188	1372
464	1189	1368
465	1191	1364
466	1192	1360
467	1193	1357
468	1195	1353
469	1197	1350
470	1199	1347
471	1201	1343
472	1202	1340
473	1204	1336
474	1205	1332
475	1207	1329
476	1208	1325
477	1210	1321
478	1212	1318
479	1214	1315
480	1215	1311
481	1217	1308
482	1219	1305
483	1220	1301
484	1222	1297
485	1223	1294
486	1225	1290
487	1227	1287
488	1228	1284
489	1231	1281
490	1233	1278
491	1235	1275
492	1237	1272
493	1238	1268
494	1240	1265
495	1242	1262
496	1244	1259
497	1246	1256
498	1247	1252
499	1249	1249
500	1250	1245
501	1252	1242
502	1253	1238
503	1255	1235
504	1258	1233
505	1260	1230
506	1262	1227
507	1263	1224
508	1265	1220
509	1266	1217
510	1268	1213
511	1269	1210
512	1272	1207
513	1274	1204
514	1276	1201
515	1277	1198
516	1279	1195
517	1280	1191
518	1282	1188
519	1283	1184
520	1285	1181
521	1287	1179
522	1289	1176
523	1291	1172
524	1292	1169
525	1294	1166
526	1295	1162
527	1297	1159
528	1298	1156
529	1300	1153
530	1304	1151
531	1305	1148
532	1307	1145
533	1308	1142
534	1310	1138
535	1311	1135
536	1313	1132
537	1315	1129
538	1317	1126
539	1319	1123
540	1320	1120
541	1322	1117
542	1324	1114
543	1326	1111
544	1328	1108
545	1330	1106
546	1332	1103
547	1334	1100
548	1335	1097
549	1337	1094
550	1339	1091
551	1341	1088
552	1342	1085
553	1344	1082
554	1346	1079
555	1348	1076
556	1349	1073
557	1351	1070
558	1353	1067
559	1354	1064
560	1356	1061
561	1357	1058
562	1358	1054
563	1360	1051
564	1362	1049
565	1364	1046
566	1366	1043
567	1367	1040
568	1369	1037
569	1370	1034
570	1372	1030
571	1373	1027
572	1375	1024
573	1377	1022
574	1378	1019
575	1380	1016
576	1382	1013
577	1383	1010
578	1385	1007
579	1386	1004
580	1388	1001
581	1389	998
582	1392	995
583	1393	992
584	1395	990
585	1397	987
586	1398	983
587	1399	980
588	1401	977
589	1402	974
590	1404	971
591	1406	969
592	1408	966
593	1410	963
594	1412	961
595	1414	958
596	1416	956
597	1418	953
598	1419	950
599	1422	948
600	1423	945
601	1425	942
602	1427	939
603	1428	936
604	1430	933
605	1431	930
606	1433	927
607	1434	925
608	1437	922
609	1439	920
610	1440	917
611	1442	914
612	1443	911
613	1445	908
614	1446	905
615	1448	902
616	1450	900
617	1452	897
618	1453	894
619	1455	892
620	1457	889
621	1458	886
622	1460	883
623	1461	880
624	1463	877
625	1465	875
626	1467	872
627	1468	870
628	1470	867
629	1472	864
630	1473	861
631	1475	858
632	1476	856
633	1478	853
634	1479	850
635	1482	848
636	1483	845
637	1485	842
638	1486	840
639	1488	837
640	1490	834
641	1491	831
642	1493	829
643	1495	826
644	1497	823
645	1498	821
646	1500	818
647	1502	816
648	1504	813
649	1505	810
650	1507	808
651	1509	805
652	1511	803
653	1512	800
654	1514	797
655	1516	795
656	1518	792
657	1520	790
658	1522	787
659	1523	785
660	1526	782
661	1527	779
662	1529	777
663	1530	774
664	1532	771
665	1533	769
666	1536	767
667	1539	764
668	1542	763
669	1544	760
670	1546	758
671	1549	756
672	1551	753
673	1552	751
674	1555	749
675	1558	746
676	1560	744
677	1561	741
678	1563	739
679	1564	736
680	1566	733
681	1567	730
682	1570	729
683	1572	726
684	1573	723
685	1575	721
686	1577	718
687	1578	715
688	1580	713
689	1581	710
690	1583	708
691	1586	705
692	1587	703
693	1589	700
694	1590	698
695	1592	695
696	1593	692
697	1594	690
698	1596	687
699	1597	684
700	1600	682
701	1602	680
702	1604	678
703	1606	675
704	1608	673
705	1610	670
706	1611	668
707	1614	665
708	1617	663
709	1618	661
710	1620	658
711	1622	656
712	1623	653
713	1624	650
714	1626	648
715	1628	645
716	1630	643
717	1632	641
718	1633	638
719	1635	635
720	1636	633
721	1638	630
722	1639	628
723	1640	625
724	1642	623
725	1644	620
726	1646	618
727	1648	615
728	1649	613
729	1651	610
730	1652	608
731	1654	605
732	1655	603
733	1656	600
734	1659	598
735	1661	595
736	1662	593
737	1664	590
738	1665	588
739	1667	585
740	1668	583
741	1670	580
742	1671	578
743	1675	576
744	1677	574
745	1678	571
746	1680	569
747	1682	566
748	1683	564
749	1684	561
750	1686	559
751	1688	556
752	1690	554
753	1692	552
754	1693	549
755	1694	547
756	1696	544
757	1698	542
758	1702	540
759	1704	538
760	1706	535
761	1708	533
762	1710	531
763	1711	528
764	1713	526
765	1717	524
766	1719	522
767	1720	519
768	1722	517
769	1723	514
770	1725	512
771	1726	510
772	1728	507
773	1731	505
774	1732	503
775	1734	500
776	1735	498
777	1737	495
778	1738	493
779	1740	490
780	1741	488
781	1744	486
782	1746	484
783	1748	481
784	1749	479
785	1751	476
786	1752	474
787	1754	471
788	1755	469
789	1757	467
790	1759	464
791	1761	462
792	1763	460
793	1764	457
794	1765	455
795	1767	452
796	1769	450
797	1770	448
798	1772	445
799	1774	443
800	1776	441
801	1778	439
802	1779	436
803	1781	434
804	1783	431
805	1784	429
806	1786	427
807	1787	424
808	1789	422
809	1791	420
810	1793	418
811	1795	415
812	1797	413
813	1799	411
814	1800	408
815	1802	406
816	1804	404
817	1807	402
818	1808	399
819	1810	397
820	1811	394
821	1813	392
822	1814	390
823	1816	387
824	1817	385
825	1819	383
826	1821	381
827	1823	378
828	1825	376
829	1826	374
830	1828	371
831	1829	369
832	1831	367
833	1832	364
834	1834	362
835	1837	360
836	1838	358
837	1840	355
838	1841	353
839	1842	351
840	1844	348
841	1845	346
842	1847	344
843	1849	341
844	1851	339
845	1853	337
846	1854	335
847	1856	332
848	1857	330
849	1859	328
850	1860	325
851	1862	323
852	1864	321
853	1866	319
854	1868	316
855	1869	314
856	1871	312
857	1872	309
858	1874	307
859	1875	305
860	1877	303
861	1878	300
862	1881	298
863	1883	296
864	1885	294
865	1887	292
866	1888	289
867	1890	287
868	1891	285
869	1894	283
870	1897	281
871	1899	278
872	1901	276
873	1903	274
874	1905	272
875	1907	270
876	1911	268
877	1913	265
878	1914	263
879	1915	261
880	1917	258
881	1918	256
882	1920	254
883	1921	252
884	1923	249
885	1926	247
886	1927	245
887	1929	243
888	1930	241
889	1932	238
890	1933	236
891	1935	234
892	1936	232
893	1938	229
894	1941	227
895	1942	225
896	1944	223
897	1945	220
898	1946	218
899	1948	216
900	1949	214
901	1951	212
902	1953	209
903	1955	207
904	1957	205
905	1959	203
906	1960	201
907	1961	198
908	1963	196
909	1964	194
910	1966	192
911	1968	189
912	1971	187
913	1972	185
914	1974	183
915	1975	181
